,0
0,3249648888.690262
1,10107191093.123726
2,7252578284.934543
3,1010635929.797417
4,1378788828.747094
5,2003388499.642866
6,1070609833.3649033
7,130336846.9219987
8,689010498.9401566
9,1579619901.4752562
10,1075399535.108872
11,1334838144.9908457
12,1788562747.589719
13,1192117152.6420517
14,514668260.92283124
15,80140189.59702696
16,45266884.05562239
17,267119408.35362414
18,148954311.2743991
19,181012582.79865804
20,149140616.62686166
21,173447523.2714878
22,109127934.97238745
23,200917913.03602323
24,252235640.1426647
25,293984695.3758207
26,378455234.82590216
27,155195319.04055464
28,171991615.86191025
29,288475485.7558047
30,202020106.98594096
31,421544741.4664667
32,368462523.7088185
33,162661817.2896594
34,32118855.236767303
35,137838319.80151913
36,373008388.86106855
37,762390050.5954533
38,793672126.0979658
39,333309504.014917
40,324816057.0938012
41,1150835844.932233
42,1304920457.9166584
43,754369602.2183615
44,422562315.3508036
45,364469427.99372673
46,465353772.9478884
47,459071595.88313675
48,139321052.66084003
49,428243156.67640287
50,687355005.6822644
51,196857031.66870508
52,204764718.32097623
53,264772526.8827766
54,189484240.7591479
55,515821097.3485972
56,648501423.3069826
57,335382133.6833784
58,163121654.41846815
59,206349819.05866614
60,186476006.30429077
61,171762033.13517854
62,215512874.47625443
63,240869463.99864104
64,179071662.36234918
65,80962144.76554577
66,177686142.9748938
67,180273703.52603266
68,78776210.67430584
69,87988764.23013346
70,86920612.42493646
71,78771597.58931485
72,197645671.1930205
73,387596893.60311586
74,291039062.80411834
75,40098588.26329907
76,216577132.41000056
77,365516317.1231858
78,392823213.63170296
79,205315656.96209893
80,171270018.3672602
81,452676862.29062945
82,698521764.5628322
83,38539302.559542604
84,798275184.468154
85,2076200047.9991214
86,1610780861.3042753
87,1007173430.8054328
88,545228358.6876665
89,325627306.0244648
90,532894599.3656819
91,193143368.98947915
92,152384492.87497342
93,250304272.67551556
94,252620485.57196078
95,222358068.24637982
96,180543464.41261378
97,57605586.88461017
98,226483396.53107417
99,396740901.24910337
100,253658909.2369047
101,225186548.77365878
102,328058879.28467375
103,197889941.8601534
104,196964525.4637843
105,208867031.27863896
106,201151958.8254206
107,203461622.3982397
108,183931516.5613604
109,241212600.0767351
110,423047185.93283826
111,282967219.24244124
112,43864288.1087846
113,228262024.22320104
114,306614971.09991986
115,490358033.0274957
116,447602137.62916994
117,198650473.79935762
118,51867143.49073619
119,183930071.24697363
120,134634409.366343
121,47189106.74645332
122,116553740.39756931
123,262841904.58868217
124,145122050.4710381
125,118988898.18118443
126,179271793.09414458
127,135672635.76419234
128,81958722.8649997
