Time,Seasonally Adjusted Real AWE Total Pay (Index numbers 2015=100),Single month % change year on year,3 month average % change year on year
Dec-09,102.8,-0.9,-0.8
Jan-10,100.6,-1.0,-0.8
Feb-10,103.0,3.9,0.7
Mar-10,103.5,3.6,2.2
Apr-10,102.3,-2.3,1.7
May-10,102.4,-1.2,0.0
Jun-10,102.3,-0.9,-1.5
Jul-10,102.1,-0.6,-0.9
Aug-10,102.3,-0.5,-0.6
Sep-10,102.6,-0.4,-0.5
Oct-10,102.4,-0.4,-0.4
Nov-10,102.2,-0.6,-0.5
Dec-10,101.2,-1.6,-0.9
Jan-11,102.0,1.5,-0.3
Feb-11,101.4,-1.6,-0.6
Mar-11,102.0,-1.5,-0.6
Apr-11,100.8,-1.4,-1.5
May-11,100.9,-1.5,-1.5
Jun-11,101.4,-0.9,-1.3
Jul-11,101.0,-1.1,-1.2
Aug-11,100.2,-2.0,-1.3
Sep-11,99.9,-2.6,-1.9
Oct-11,100.1,-2.2,-2.3
Nov-11,100.0,-2.2,-2.3
Dec-11,99.6,-1.5,-2.0
