InvoiceDate,Quantity,total price,Unemployment Rate,Retail Spending Monthly,Average Wage,FTSE Price,Holiday,Saturday
2009-12-07,16687,40101.91,7.699999999999999,35244288.0,102.8,5310.7,0,0
2009-12-08,25089,46380.4,7.7,35244288.0,102.8,5223.1,0,0
2009-12-09,17622,38335.43,7.700000000000001,35244288.0,102.8,5203.9,0,0
2009-12-10,23041,43538.34,7.700000000000001,35244288.0,102.8,5244.4,0,0
2009-12-11,21394,39659.6,7.700000000000001,35244288.0,102.79999999999998,5261.6,0,0
2009-12-13,11269,19698.25,7.700000000000001,35244288.0,102.79999999999998,5297.400000000001,0,0
2009-12-14,42637,68318.49,7.7,35244288.0,102.8,5315.3,0,0
2009-12-15,26157,47799.04,7.7,35244288.0,102.8,5285.8,0,0
2009-12-16,24091,50955.18,7.7,35244288.0,102.8,5320.3,0,0
2009-12-17,14868,27894.18,7.7,35244288.0,102.8,5217.6,0,0
2009-12-18,8870,28863.5,7.7,35244288.0,102.8,5196.8,0,0
2009-12-20,5366,10145.02,7.7,35244288.0,102.8,5261.6,0,0
2009-12-21,3878,8314.98,7.699999999999999,35244288.0,102.8,5294.0,0,0
2009-12-22,26846,27454.92,7.7,35244288.0,102.8,5328.7,0,0
2009-12-23,2486,5722.04,7.7,35244288.0,102.8,5372.4,0,0
2010-01-04,11008,13481.25,7.9,19691654.0,100.6,5500.3,0,0
2010-01-05,11421,19199.29,7.9,19691654.0,100.6,5522.5,0,0
2010-01-06,7496,8746.18,7.899999999999999,19691654.0,100.6,5530.0,0,0
2010-01-07,12741,24283.22,7.900000000000001,19691654.0,100.59999999999998,5526.7,0,0
2010-01-08,10470,24272.18,7.9,19691654.0,100.6,5534.2,0,0
2010-01-10,13121,22928.36,7.9,19691654.0,100.6,5536.8,0,0
2010-01-11,13526,32769.94,7.9,19691654.0,100.6,5538.1,0,0
2010-01-12,20420,38480.97,7.9,19691654.0,100.6,5498.7,0,0
2010-01-13,8042,19349.91,7.9,19691654.0,100.6,5473.5,0,0
2010-01-14,13083,30141.53,7.9,19691654.0,100.6,5498.2,0,0
2010-01-15,7696,11241.84,7.9,19691654.0,100.6,5455.4,0,0
2010-01-17,10041,17578.24,7.9,19691654.0,100.6,5481.4,0,0
2010-01-18,10230,20612.81,7.9,19691654.0,100.6,5494.4,0,0
2010-01-19,13855,29744.371,7.9,19691654.0,100.6,5513.1,0,0
2010-01-20,9130,16052.74,7.900000000000001,19691654.0,100.6,5420.8,0,0
2010-01-21,7483,14305.43,7.9,19691654.0,100.6,5335.1,0,0
2010-01-22,8571,20089.79,7.9,19691654.0,100.6,5303.0,0,0
2010-01-24,8561,15512.71,7.9,19691654.0,100.6,5274.533333333334,0,0
2010-01-25,9555,20986.15,7.9,19691654.0,100.6,5260.3,0,0
2010-01-26,8702,22862.47,7.9,19691654.0,100.6,5276.9,0,0
2010-01-27,16665,26719.2,7.899999999999999,19691654.0,100.6,5217.5,0,0
2010-01-28,11014,18831.0,7.9,19691654.0,100.6,5145.7,0,0
2010-01-29,10257,28307.481,7.900000000000001,19691654.0,100.6,5188.5,0,0
2010-01-31,9022,15300.6,7.9,19691654.0,100.6,5227.766666666666,0,0
2010-02-01,7782,16315.821,8.0,20335561.0,103.0,5247.4,0,0
2010-02-02,9677,17967.08,8.0,20335561.0,103.0,5283.3,0,0
2010-02-03,9356,19500.651,8.0,20335561.0,103.0,5253.1,0,0
2010-02-04,12460,21786.17,8.0,20335561.0,103.0,5139.3,0,0
2010-02-05,10293,21578.01,8.0,20335561.0,103.0,5060.9,0,0
2010-02-07,5395,8205.03,8.0,20335561.0,103.0,5081.833333333333,0,0
2010-02-08,6862,13719.94,8.0,20335561.0,103.0,5092.3,0,0
2010-02-09,7141,13648.36,8.0,20335561.0,103.0,5111.8,0,0
2010-02-10,3558,9156.21,8.0,20335561.0,103.0,5132.0,0,0
2010-02-11,8188,13055.67,8.0,20335561.0,103.0,5161.5,0,0
2010-02-12,7200,10161.09,8.0,20335561.0,103.0,5142.5,0,0
2010-02-14,9600,16370.34,8.0,20335561.0,103.0,5159.166666666667,0,0
2010-02-15,11850,21190.171,8.0,20335561.0,103.0,5167.5,0,0
2010-02-16,15326,29071.91,8.0,20335561.0,103.0,5244.1,0,0
2010-02-17,14426,20825.89,8.0,20335561.0,103.0,5276.6,0,0
2010-02-18,15362,20643.52,8.0,20335561.0,103.0,5325.1,0,0
2010-02-19,12622,27254.86,8.0,20335561.0,103.0,5358.2,0,0
2010-02-21,5156,10288.551,8.0,20335561.0,103.0,5354.133333333333,0,0
2010-02-22,12354,23846.36,8.0,20335561.0,103.0,5352.1,0,0
2010-02-23,11703,20998.99,8.0,20335561.0,103.0,5315.1,0,0
2010-02-24,13313,21802.551,8.0,20335561.0,103.0,5342.9,0,0
2010-02-25,25914,45521.16,8.0,20335561.0,103.0,5278.2,0,0
2010-02-26,9891,15784.611,8.0,20335561.0,103.0,5354.5,0,0
2010-02-28,8179,16069.77,8.0,20335561.0,103.0,5388.766666666666,0,0
2010-03-01,21268,24444.16,8.0,26610570.0,103.5,5405.9,0,0
2010-03-02,9015,21690.32,8.0,26610570.0,103.5,5484.1,0,0
2010-03-03,13424,23418.59,8.0,26610570.0,103.5,5533.2,0,0
2010-03-04,17653,30039.41,8.0,26610570.0,103.5,5527.2,0,0
2010-03-05,13767,23670.17,8.0,26610570.0,103.5,5599.8,0,0
2010-03-07,9693,17677.38,8.0,26610570.0,103.5,5604.4,0,0
2010-03-08,14424,34742.6,8.0,26610570.0,103.5,5606.7,0,0
2010-03-09,11824,19972.86,8.0,26610570.0,103.5,5602.3,0,0
2010-03-10,17507,25931.18,8.0,26610570.0,103.5,5640.6,0,0
2010-03-11,12724,21166.65,8.0,26610570.0,103.5,5617.3,0,0
2010-03-12,6195,12217.43,8.0,26610570.0,103.5,5625.6,0,0
2010-03-14,3530,7063.72,8.0,26610570.0,103.5,5604.466666666666,0,0
2010-03-15,13633,24574.781,8.0,26610570.0,103.5,5593.9,0,0
2010-03-16,12180,22768.53,8.0,26610570.0,103.5,5620.4,0,0
2010-03-17,13346,20679.86,8.0,26610570.0,103.5,5644.6,0,0
2010-03-18,19046,36252.97,8.0,26610570.0,103.5,5642.6,0,0
2010-03-19,12544,29664.86,8.0,26610570.0,103.5,5650.1,0,0
2010-03-21,11959,19574.53,8.0,26610570.0,103.5,5646.366666666667,0,0
2010-03-22,11883,23842.09,8.0,26610570.0,103.5,5644.5,0,0
2010-03-23,54005,54921.97,8.0,26610570.0,103.5,5673.6,0,0
2010-03-24,11205,23796.96,8.0,26610570.0,103.5,5677.9,0,0
2010-03-25,15063,34618.72,8.0,26610570.0,103.5,5727.600000000001,0,0
2010-03-26,13501,20503.32,8.0,26610570.0,103.5,5703.0,0,0
2010-03-28,14594,22562.62,8.0,26610570.0,103.5,5708.133333333333,0,0
2010-03-29,25188,59881.68,8.0,26610570.0,103.5,5710.7,0,0
2010-03-30,17695,36134.52,8.0,26610570.0,103.5,5672.3,0,0
2010-03-31,13695,29718.33,8.0,26610570.0,103.5,5679.6,0,0
2010-04-01,13245,24588.02,7.9,21439876.0,102.3,5744.9,0,0
2010-04-06,12918,19224.0,7.9,21439876.0,102.3,5780.4,0,0
2010-04-07,14497,25094.48,7.900000000000001,21439876.0,102.3,5762.1,0,0
2010-04-08,26016,46716.0,7.9,21439876.0,102.3,5712.7,0,0
2010-04-09,7304,13404.29,7.900000000000001,21439876.0,102.3,5771.0,0,0
2010-04-11,9008,15811.37,7.9,21439876.0,102.3,5775.400000000001,0,0
2010-04-12,10419,22181.93,7.9,21439876.0,102.29999999999998,5777.6,0,0
2010-04-13,19255,15844.26,7.9,21439876.0,102.3,5761.7,0,0
2010-04-14,14966,24020.25,7.9,21439876.0,102.3,5796.3,0,0
2010-04-15,10337,28949.27,7.9,21439876.0,102.3,5825.0,0,0
2010-04-16,8727,13862.68,7.9,21439876.0,102.3,5744.0,0,0
2010-04-18,8028,17838.56,7.9,21439876.0,102.3,5733.266666666667,0,0
2010-04-19,18652,41852.03,7.899999999999999,21439876.0,102.3,5727.900000000001,0,0
2010-04-20,12518,27282.4,7.9,21439876.0,102.3,5783.7,0,0
2010-04-21,8813,17806.54,7.9,21439876.0,102.3,5723.4,0,0
2010-04-22,18484,38681.84,7.9,21439876.0,102.3,5665.3,0,0
2010-04-23,10080,16245.16,7.9,21439876.0,102.3,5723.6,0,0
2010-04-25,7824,15126.07,7.9,21439876.0,102.3,5743.8,0,0
2010-04-26,17625,31830.25,7.9,21439876.0,102.3,5753.9,0,0
2010-04-27,23047,44890.88,7.9,21439876.0,102.29999999999998,5603.5,0,0
2010-04-28,17442,29109.68,7.900000000000001,21439876.0,102.3,5586.600000000001,0,0
2010-04-29,15254,28779.521,7.9,21439876.0,102.3,5617.8,0,0
2010-04-30,19078,25470.25,7.899999999999999,21439876.0,102.3,5553.3,0,0
2010-05-02,5514,10903.91,7.9,21931088.0,102.4,5482.200000000001,0,0
2010-05-04,8852,18373.1,7.9,21931088.0,102.4,5411.1,0,0
2010-05-05,14944,26527.75,7.9,21931088.0,102.4,5341.9,0,0
2010-05-06,11447,21031.67,7.899999999999999,21931088.0,102.4,5261.0,0,0
2010-05-07,26496,34939.24,7.900000000000001,21931088.0,102.40000000000002,5123.0,0,0
2010-05-09,9741,18209.92,7.9,21931088.0,102.4,5299.266666666666,0,0
2010-05-10,26902,29497.29,7.9,21931088.0,102.4,5387.4,0,0
